modelo,dimensao,numero_treinamentos,tempo_execucao_em_segundos,media,minimo,maximo,mediana,desvio_padrao,com_pca,normalizacao,funcao_ativacao,optimizador,eta,epocas
linearMQ,30x30,50,1.3424,94.7273,84.8485,100.0000,93.9394,3.8139,nao,zscore,na,na,NaN,200
pslog,30x30,50,4.0047,83.5152,69.6970,96.9697,84.8485,5.3428,nao,zscore,na,gd,0.010,200
pslog,30x30,50,4.0969,86.7273,72.7273,96.9697,87.8788,5.6074,nao,zscore,na,gd,0.050,200
pslog,30x30,50,5.6813,82.7879,72.7273,93.9394,84.8485,5.6257,nao,zscore,na,momentum,0.010,200
pslog,30x30,50,4.6052,83.6970,69.6970,100.0000,81.8182,7.2668,nao,zscore,na,momentum,0.050,200
pslog,30x30,50,6.2117,84.2424,72.7273,93.9394,84.8485,4.9736,nao,zscore,na,rmsprop,0.010,200
pslog,30x30,50,5.5274,79.6364,69.6970,93.9394,78.7879,5.8414,nao,zscore,na,rmsprop,0.050,200
pslog,30x30,50,7.5706,85.6364,54.5455,93.9394,87.8788,7.3417,nao,zscore,na,nesterov,0.010,200
pslog,30x30,50,7.5956,84.3636,69.6970,96.9697,84.8485,5.8196,nao,zscore,na,nesterov,0.050,200
mlp1h,30x30,50,5.5594,51.5758,27.2727,75.7576,53.0303,10.9941,nao,zscore,sigmoid,gd,0.010,200
mlp2h,30x30,50,6.9222,8.9091,0.0000,24.2424,9.0909,5.2454,nao,zscore,sigmoid,gd,0.010,200
mlp1h,30x30,50,6.7907,79.8788,54.5455,96.9697,81.8182,9.7908,nao,zscore,sigmoid,gd,0.050,200
mlp2h,30x30,50,7.0443,18.7879,0.0000,39.3939,18.1818,9.0599,nao,zscore,sigmoid,gd,0.050,200
mlp1h,30x30,50,6.8614,84.3636,69.6970,96.9697,84.8485,7.0699,nao,zscore,sigmoid,momentum,0.010,200
mlp2h,30x30,50,7.8903,30.4848,12.1212,57.5758,30.3030,10.9928,nao,zscore,sigmoid,momentum,0.010,200
mlp1h,30x30,50,7.1131,89.5758,72.7273,100.0000,90.9091,6.8764,nao,zscore,sigmoid,momentum,0.050,200
mlp2h,30x30,50,8.1414,80.3636,45.4545,93.9394,81.8182,10.1013,nao,zscore,sigmoid,momentum,0.050,200
mlp1h,30x30,50,8.4281,90.4848,72.7273,100.0000,90.9091,5.4073,nao,zscore,sigmoid,rmsprop,0.010,200
mlp2h,30x30,50,12.4429,85.5152,69.6970,96.9697,87.8788,5.9132,nao,zscore,sigmoid,rmsprop,0.010,200
mlp1h,30x30,50,9.4511,77.0909,66.6667,93.9394,75.7576,5.7808,nao,zscore,sigmoid,rmsprop,0.050,200
mlp2h,30x30,50,9.7946,73.9394,60.6061,87.8788,74.2424,6.9534,nao,zscore,sigmoid,rmsprop,0.050,200
mlp1h,30x30,50,13.3765,87.6364,69.6970,100.0000,87.8788,6.8129,nao,zscore,sigmoid,nesterov,0.010,200
mlp2h,30x30,50,13.8517,28.4848,6.0606,54.5455,27.2727,12.9001,nao,zscore,sigmoid,nesterov,0.010,200
mlp1h,30x30,50,10.9088,91.6364,78.7879,100.0000,90.9091,5.4263,nao,zscore,sigmoid,nesterov,0.050,200
mlp2h,30x30,50,15.0097,82.0000,60.6061,96.9697,81.8182,8.3811,nao,zscore,sigmoid,nesterov,0.050,200
mlp1h,30x30,50,5.7005,83.9394,66.6667,96.9697,84.8485,7.2761,nao,zscore,tanh,gd,0.010,200
mlp2h,30x30,50,7.2050,75.3333,45.4545,90.9091,77.2727,9.8338,nao,zscore,tanh,gd,0.010,200
mlp1h,30x30,50,5.6645,90.6667,75.7576,100.0000,90.9091,5.7378,nao,zscore,tanh,gd,0.050,200
mlp2h,30x30,50,7.0437,88.1818,66.6667,100.0000,87.8788,6.9061,nao,zscore,tanh,gd,0.050,200
mlp1h,30x30,50,6.2841,88.4848,75.7576,96.9697,89.3939,5.3019,nao,zscore,tanh,momentum,0.010,200
mlp2h,30x30,50,7.8248,85.7576,72.7273,100.0000,84.8485,5.8801,nao,zscore,tanh,momentum,0.010,200
mlp1h,30x30,50,6.8186,88.0000,72.7273,100.0000,89.3939,6.1209,nao,zscore,tanh,momentum,0.050,200
mlp2h,30x30,50,7.8762,85.2727,75.7576,100.0000,84.8485,5.6447,nao,zscore,tanh,momentum,0.050,200
mlp1h,30x30,50,8.2021,81.7576,66.6667,93.9394,81.8182,6.2281,nao,zscore,tanh,rmsprop,0.010,200
mlp2h,30x30,50,10.0670,78.3636,60.6061,93.9394,75.7576,7.0341,nao,zscore,tanh,rmsprop,0.010,200
mlp1h,30x30,50,7.9655,71.0303,45.4545,84.8485,72.7273,7.4770,nao,zscore,tanh,rmsprop,0.050,200
mlp2h,30x30,50,9.3114,69.6364,51.5152,84.8485,69.6970,7.4853,nao,zscore,tanh,rmsprop,0.050,200
mlp1h,30x30,50,11.9565,88.3636,75.7576,100.0000,87.8788,5.4194,nao,zscore,tanh,nesterov,0.010,200
mlp2h,30x30,50,14.7318,88.9091,72.7273,96.9697,87.8788,5.6645,nao,zscore,tanh,nesterov,0.010,200
mlp1h,30x30,50,11.3009,89.8182,66.6667,100.0000,90.9091,6.6998,nao,zscore,tanh,nesterov,0.050,200
mlp2h,30x30,50,14.5752,87.5152,72.7273,96.9697,87.8788,5.8925,nao,zscore,tanh,nesterov,0.050,200
mlp1h,30x30,50,4.7491,77.5152,48.4848,93.9394,78.7879,8.9369,nao,zscore,relu,gd,0.010,200
mlp2h,30x30,50,6.3216,59.4545,33.3333,75.7576,60.6061,9.3428,nao,zscore,relu,gd,0.010,200
mlp1h,30x30,50,5.0554,83.8182,69.6970,96.9697,83.3333,6.5541,nao,zscore,relu,gd,0.050,200
mlp2h,30x30,50,6.0369,78.6061,57.5758,93.9394,78.7879,8.1083,nao,zscore,relu,gd,0.050,200
mlp1h,30x30,50,5.4729,82.3636,72.7273,100.0000,81.8182,5.6007,nao,zscore,relu,momentum,0.010,200
mlp2h,30x30,50,6.6901,79.3333,60.6061,93.9394,78.7879,7.0255,nao,zscore,relu,momentum,0.010,200
mlp1h,30x30,50,5.4189,81.2121,63.6364,93.9394,81.8182,6.6785,nao,zscore,relu,momentum,0.050,200
mlp2h,30x30,50,6.5490,77.9394,60.6061,90.9091,78.7879,6.8184,nao,zscore,relu,momentum,0.050,200
mlp1h,30x30,50,7.1603,81.8788,63.6364,100.0000,81.8182,7.2306,nao,zscore,relu,rmsprop,0.010,200
mlp2h,30x30,50,8.3555,76.1818,51.5152,87.8788,77.2727,7.7924,nao,zscore,relu,rmsprop,0.010,200
mlp1h,30x30,50,7.0792,79.0303,60.6061,90.9091,78.7879,7.1354,nao,zscore,relu,rmsprop,0.050,200
mlp2h,30x30,50,8.3016,20.4242,0.0000,66.6667,15.1515,17.5398,nao,zscore,relu,rmsprop,0.050,200
mlp1h,30x30,50,9.6966,82.8485,69.6970,93.9394,84.8485,6.2915,nao,zscore,relu,nesterov,0.010,200
mlp2h,30x30,50,12.4518,79.5152,54.5455,93.9394,78.7879,8.8413,nao,zscore,relu,nesterov,0.010,200
mlp1h,30x30,50,9.8953,81.1515,63.6364,96.9697,81.8182,7.5551,nao,zscore,relu,nesterov,0.050,200
mlp2h,30x30,50,12.7847,76.8485,66.6667,87.8788,78.7879,6.5010,nao,zscore,relu,nesterov,0.050,200
mlp1h,30x30,50,5.3295,79.6364,63.6364,93.9394,80.3030,6.5378,nao,zscore,leakyrelu,gd,0.010,200
mlp2h,30x30,50,6.2830,58.9697,30.3030,78.7879,60.6061,11.7795,nao,zscore,leakyrelu,gd,0.010,200
mlp1h,30x30,50,5.1016,84.2424,63.6364,96.9697,84.8485,6.6785,nao,zscore,leakyrelu,gd,0.050,200
mlp2h,30x30,50,6.1755,79.3333,66.6667,96.9697,78.7879,6.5849,nao,zscore,leakyrelu,gd,0.050,200
mlp1h,30x30,50,5.8103,82.1818,63.6364,93.9394,81.8182,5.7639,nao,zscore,leakyrelu,momentum,0.010,200
mlp2h,30x30,50,7.0210,79.4545,63.6364,93.9394,78.7879,6.6020,nao,zscore,leakyrelu,momentum,0.010,200
mlp1h,30x30,50,6.3520,83.2727,60.6061,96.9697,84.8485,7.5041,nao,zscore,leakyrelu,momentum,0.050,200
mlp2h,30x30,50,7.2505,78.1818,57.5758,90.9091,78.7879,8.1450,nao,zscore,leakyrelu,momentum,0.050,200
mlp1h,30x30,50,7.5160,81.0303,66.6667,100.0000,81.8182,6.4445,nao,zscore,leakyrelu,rmsprop,0.010,200
mlp2h,30x30,50,9.0172,77.3333,60.6061,93.9394,78.7879,7.5041,nao,zscore,leakyrelu,rmsprop,0.010,200
mlp1h,30x30,50,7.6069,78.7273,63.6364,93.9394,78.7879,8.3380,nao,zscore,leakyrelu,rmsprop,0.050,200
mlp2h,30x30,50,8.7922,75.5758,33.3333,96.9697,75.7576,10.3970,nao,zscore,leakyrelu,rmsprop,0.050,200
mlp1h,30x30,50,11.2491,82.0000,66.6667,93.9394,81.8182,6.9645,nao,zscore,leakyrelu,nesterov,0.010,200
mlp2h,30x30,50,13.5615,77.8182,60.6061,87.8788,78.7879,6.6062,nao,zscore,leakyrelu,nesterov,0.010,200
mlp1h,30x30,50,10.6529,80.7273,57.5758,96.9697,81.8182,6.6436,nao,zscore,leakyrelu,nesterov,0.050,200
mlp2h,30x30,50,13.2879,79.0303,57.5758,93.9394,78.7879,7.3934,nao,zscore,leakyrelu,nesterov,0.050,200
linearMQ,30x30,50,1.0918,96.0000,84.8485,100.0000,96.9697,3.4328,nao,minmax11,na,na,NaN,200
pslog,30x30,50,3.1625,85.3939,72.7273,96.9697,84.8485,5.3962,nao,minmax11,na,gd,0.010,200
pslog,30x30,50,3.0876,90.2424,75.7576,100.0000,90.9091,5.8173,nao,minmax11,na,gd,0.050,200
pslog,30x30,50,3.5312,88.9091,78.7879,100.0000,87.8788,5.5306,nao,minmax11,na,momentum,0.010,200
pslog,30x30,50,3.5498,88.4242,75.7576,100.0000,87.8788,5.6340,nao,minmax11,na,momentum,0.050,200
pslog,30x30,50,4.7081,90.4848,75.7576,100.0000,90.9091,5.2311,nao,minmax11,na,rmsprop,0.010,200
pslog,30x30,50,4.6849,85.2727,75.7576,93.9394,84.8485,4.8210,nao,minmax11,na,rmsprop,0.050,200
pslog,30x30,50,6.4834,89.2727,75.7576,100.0000,90.9091,5.9423,nao,minmax11,na,nesterov,0.010,200
pslog,30x30,50,6.4964,87.5152,75.7576,100.0000,87.8788,5.6655,nao,minmax11,na,nesterov,0.050,200
mlp1h,30x30,50,4.9369,33.3333,15.1515,75.7576,33.3333,12.9437,nao,minmax11,sigmoid,gd,0.010,200
mlp2h,30x30,50,6.0297,5.7576,0.0000,18.1818,6.0606,4.1182,nao,minmax11,sigmoid,gd,0.010,200
mlp1h,30x30,50,5.2368,67.4545,39.3939,90.9091,66.6667,12.1028,nao,minmax11,sigmoid,gd,0.050,200
mlp2h,30x30,50,6.2433,13.9394,0.0000,33.3333,15.1515,6.7621,nao,minmax11,sigmoid,gd,0.050,200
mlp1h,30x30,50,5.5858,77.1515,54.5455,90.9091,78.7879,8.2185,nao,minmax11,sigmoid,momentum,0.010,200
mlp2h,30x30,50,6.8556,18.3636,0.0000,42.4242,18.1818,9.8224,nao,minmax11,sigmoid,momentum,0.010,200
mlp1h,30x30,50,5.7497,90.7879,78.7879,100.0000,90.9091,4.7009,nao,minmax11,sigmoid,momentum,0.050,200
mlp2h,30x30,50,6.9524,68.3030,51.5152,96.9697,66.6667,9.9135,nao,minmax11,sigmoid,momentum,0.050,200
mlp1h,30x30,50,7.3649,93.1515,66.6667,100.0000,93.9394,5.6712,nao,minmax11,sigmoid,rmsprop,0.010,200
mlp2h,30x30,50,8.7628,86.7273,69.6970,96.9697,87.8788,7.2925,nao,minmax11,sigmoid,rmsprop,0.010,200
mlp1h,30x30,50,7.5884,38.4242,15.1515,72.7273,36.3636,13.8858,nao,minmax11,sigmoid,rmsprop,0.050,200
mlp2h,30x30,50,8.4925,41.5152,15.1515,78.7879,42.4242,14.4130,nao,minmax11,sigmoid,rmsprop,0.050,200
mlp1h,30x30,50,10.1293,79.6970,54.5455,90.9091,78.7879,7.2503,nao,minmax11,sigmoid,nesterov,0.010,200
mlp2h,30x30,50,12.9237,18.9091,6.0606,54.5455,18.1818,9.3362,nao,minmax11,sigmoid,nesterov,0.010,200
mlp1h,30x30,50,10.1468,91.7576,84.8485,100.0000,92.4242,4.1540,nao,minmax11,sigmoid,nesterov,0.050,200
mlp2h,30x30,50,12.7211,66.7879,39.3939,90.9091,66.6667,13.1014,nao,minmax11,sigmoid,nesterov,0.050,200
mlp1h,30x30,50,5.2697,81.0303,57.5758,96.9697,81.8182,8.0480,nao,minmax11,tanh,gd,0.010,200
mlp2h,30x30,50,6.5955,68.6061,30.3030,93.9394,69.6970,11.3839,nao,minmax11,tanh,gd,0.010,200
mlp1h,30x30,50,5.2553,92.1818,84.8485,100.0000,90.9091,4.0651,nao,minmax11,tanh,gd,0.050,200
mlp2h,30x30,50,6.5474,86.9697,66.6667,96.9697,87.8788,7.3784,nao,minmax11,tanh,gd,0.050,200
mlp1h,30x30,50,5.8044,92.4242,78.7879,100.0000,93.9394,4.3398,nao,minmax11,tanh,momentum,0.010,200
mlp2h,30x30,50,7.2555,89.8182,69.6970,100.0000,90.9091,6.5298,nao,minmax11,tanh,momentum,0.010,200
mlp1h,30x30,50,6.0197,92.3636,78.7879,100.0000,92.4242,5.2035,nao,minmax11,tanh,momentum,0.050,200
mlp2h,30x30,50,7.6374,90.0000,75.7576,100.0000,90.9091,5.3108,nao,minmax11,tanh,momentum,0.050,200
mlp1h,30x30,50,7.9537,84.8485,69.6970,96.9697,84.8485,7.1919,nao,minmax11,tanh,rmsprop,0.010,200
mlp2h,30x30,50,9.4039,76.7879,45.4545,90.9091,78.7879,8.6496,nao,minmax11,tanh,rmsprop,0.010,200
mlp1h,30x30,50,6.9891,22.5455,6.0606,54.5455,21.2121,10.0627,nao,minmax11,tanh,rmsprop,0.050,200
mlp2h,30x30,50,8.6410,20.1212,0.0000,54.5455,18.1818,9.4994,nao,minmax11,tanh,rmsprop,0.050,200
mlp1h,30x30,50,11.5636,93.0303,78.7879,100.0000,93.9394,4.5092,nao,minmax11,tanh,nesterov,0.010,200
mlp2h,30x30,50,14.5257,90.6667,78.7879,96.9697,90.9091,4.6961,nao,minmax11,tanh,nesterov,0.010,200
mlp1h,30x30,50,11.0516,90.7879,78.7879,96.9697,90.9091,4.8578,nao,minmax11,tanh,nesterov,0.050,200
mlp2h,30x30,50,14.1644,91.4545,75.7576,100.0000,90.9091,5.3613,nao,minmax11,tanh,nesterov,0.050,200
mlp1h,30x30,50,4.8568,75.0909,42.4242,90.9091,75.7576,8.8356,nao,minmax11,relu,gd,0.010,200
mlp2h,30x30,50,5.5786,49.4545,15.1515,87.8788,48.4848,14.0468,nao,minmax11,relu,gd,0.010,200
mlp1h,30x30,50,4.6106,85.4545,72.7273,96.9697,84.8485,6.0914,nao,minmax11,relu,gd,0.050,200
mlp2h,30x30,50,5.7105,81.3939,48.4848,96.9697,81.8182,9.2038,nao,minmax11,relu,gd,0.050,200
mlp1h,30x30,50,5.3053,85.3939,69.6970,96.9697,84.8485,6.2641,nao,minmax11,relu,momentum,0.010,200
mlp2h,30x30,50,6.3515,81.2727,54.5455,93.9394,81.8182,7.5897,nao,minmax11,relu,momentum,0.010,200
mlp1h,30x30,50,5.4497,84.4242,69.6970,100.0000,84.8485,6.2736,nao,minmax11,relu,momentum,0.050,200
mlp2h,30x30,50,6.4295,75.0303,9.0909,96.9697,78.7879,17.4192,nao,minmax11,relu,momentum,0.050,200
mlp1h,30x30,50,7.0044,81.3939,69.6970,100.0000,78.7879,7.4733,nao,minmax11,relu,rmsprop,0.010,200
mlp2h,30x30,50,8.2506,67.3939,0.0000,93.9394,75.7576,22.3735,nao,minmax11,relu,rmsprop,0.010,200
mlp1h,30x30,50,7.0775,15.8788,3.0303,45.4545,15.1515,8.4512,nao,minmax11,relu,rmsprop,0.050,200
mlp2h,30x30,50,8.1701,5.1515,0.0000,36.3636,3.0303,7.3274,nao,minmax11,relu,rmsprop,0.050,200
mlp1h,30x30,50,10.0021,85.6364,69.6970,100.0000,84.8485,6.9483,nao,minmax11,relu,nesterov,0.010,200
mlp2h,30x30,50,12.2640,81.8182,63.6364,93.9394,81.8182,7.6465,nao,minmax11,relu,nesterov,0.010,200
mlp1h,30x30,50,9.7043,84.8485,69.6970,96.9697,84.8485,6.1527,nao,minmax11,relu,nesterov,0.050,200
mlp2h,30x30,50,12.5740,63.0909,0.0000,96.9697,74.2424,29.1731,nao,minmax11,relu,nesterov,0.050,200
mlp1h,30x30,50,6.7584,75.8788,45.4545,93.9394,75.7576,10.7610,nao,minmax11,leakyrelu,gd,0.010,200
mlp2h,30x30,50,8.6829,48.3030,18.1818,78.7879,48.4848,15.5653,nao,minmax11,leakyrelu,gd,0.010,200
mlp1h,30x30,50,5.8226,86.3030,69.6970,96.9697,86.3636,5.6190,nao,minmax11,leakyrelu,gd,0.050,200
mlp2h,30x30,50,6.3430,80.9697,57.5758,100.0000,81.8182,8.8938,nao,minmax11,leakyrelu,gd,0.050,200
mlp1h,30x30,50,5.7266,85.8788,69.6970,96.9697,87.8788,6.8066,nao,minmax11,leakyrelu,momentum,0.010,200
mlp2h,30x30,50,7.0715,83.0909,66.6667,96.9697,83.3333,7.5501,nao,minmax11,leakyrelu,momentum,0.010,200
mlp1h,30x30,50,5.8769,85.6970,69.6970,96.9697,84.8485,6.0618,nao,minmax11,leakyrelu,momentum,0.050,200
mlp2h,30x30,50,6.9867,77.6364,27.2727,90.9091,80.3030,11.9639,nao,minmax11,leakyrelu,momentum,0.050,200
mlp1h,30x30,50,7.4875,81.8788,66.6667,100.0000,81.8182,6.6360,nao,minmax11,leakyrelu,rmsprop,0.010,200
mlp2h,30x30,50,8.8603,75.0303,45.4545,96.9697,75.7576,10.9612,nao,minmax11,leakyrelu,rmsprop,0.010,200
mlp1h,30x30,50,7.4902,78.8485,45.4545,100.0000,78.7879,9.8620,nao,minmax11,leakyrelu,rmsprop,0.050,200
mlp2h,30x30,50,8.9516,67.2727,27.2727,87.8788,66.6667,13.2300,nao,minmax11,leakyrelu,rmsprop,0.050,200
mlp1h,30x30,50,10.8695,86.4848,75.7576,100.0000,87.8788,6.3979,nao,minmax11,leakyrelu,nesterov,0.010,200
mlp2h,30x30,50,13.6013,80.8485,21.2121,93.9394,81.8182,10.7520,nao,minmax11,leakyrelu,nesterov,0.010,200
